Date	Day	Time	Pred(Ft)	Pred(cm)	High/Low
2017/02/01	Wed	03:14 AM	8.42	257	H
2017/02/01	Wed	09:09 AM	2.29	70	L
2017/02/01	Wed	03:00 PM	7.70	235	H
2017/02/01	Wed	09:16 PM	0.85	26	L
2017/02/02	Thu	03:55 AM	8.58	262	H
2017/02/02	Thu	10:09 AM	2.03	62	L
2017/02/02	Thu	04:02 PM	7.02	214	H
2017/02/02	Thu	10:01 PM	1.57	48	L
2017/02/03	Fri	04:41 AM	8.72	266	H
2017/02/03	Fri	11:17 AM	1.71	52	L
2017/02/03	Fri	05:17 PM	6.43	196	H
2017/02/03	Fri	10:52 PM	2.30	70	L
2017/02/04	Sat	05:34 AM	8.86	270	H
2017/02/04	Sat	12:30 PM	1.26	38	L
2017/02/04	Sat	06:45 PM	6.13	187	H
2017/02/04	Sat	11:55 PM	2.94	90	L
2017/02/05	Sun	06:32 AM	9.01	275	H
2017/02/05	Sun	01:42 PM	0.69	21	L
2017/02/05	Sun	08:13 PM	6.24	190	H
2017/02/06	Mon	01:07 AM	3.34	102	L
2017/02/06	Mon	07:34 AM	9.20	280	H
2017/02/06	Mon	02:47 PM	0.08	2	L
2017/02/06	Mon	09:27 PM	6.64	202	H
2017/02/07	Tue	02:20 AM	3.45	105	L
2017/02/07	Tue	08:36 AM	9.44	288	H
2017/02/07	Tue	03:44 PM	-0.47	-14	L
2017/02/07	Tue	10:26 PM	7.13	217	H
2017/02/08	Wed	03:26 AM	3.29	100	L
2017/02/08	Wed	09:34 AM	9.66	294	H
2017/02/08	Wed	04:34 PM	-0.88	-27	L
2017/02/08	Wed	11:15 PM	7.59	231	H
2017/02/09	Thu	04:24 AM	2.99	91	L
2017/02/09	Thu	10:27 AM	9.78	298	H
2017/02/09	Thu	05:20 PM	-1.09	-33	L
2017/02/09	Thu	11:58 PM	7.96	243	H
2017/02/10	Fri	05:16 AM	2.64	80	L
2017/02/10	Fri	11:17 AM	9.76	297	H
2017/02/10	Fri	06:03 PM	-1.08	-33	L
2017/02/11	Sat	12:38 AM	8.23	251	H
2017/02/11	Sat	06:05 AM	2.33	71	L
2017/02/11	Sat	12:04 PM	9.54	291	H
2017/02/11	Sat	06:43 PM	-0.85	-26	L
2017/02/12	Sun	01:16 AM	8.39	256	H
2017/02/12	Sun	06:51 AM	2.11	64	L
2017/02/12	Sun	12:49 PM	9.13	278	H
2017/02/12	Sun	07:21 PM	-0.44	-13	L
2017/02/13	Mon	01:52 AM	8.44	257	H
2017/02/13	Mon	07:37 AM	1.98	60	L
2017/02/13	Mon	01:34 PM	8.57	261	H
2017/02/13	Mon	07:57 PM	0.14	4	L
2017/02/14	Tue	02:28 AM	8.39	256	H
2017/02/14	Tue	08:23 AM	1.94	59	L
2017/02/14	Tue	02:19 PM	7.90	241	H
2017/02/14	Tue	08:33 PM	0.82	25	L
2017/02/15	Wed	03:04 AM	8.27	252	H
2017/02/15	Wed	09:10 AM	1.96	60	L
2017/02/15	Wed	03:07 PM	7.18	219	H
2017/02/15	Wed	09:09 PM	1.56	48	L
2017/02/16	Thu	03:41 AM	8.09	247	H
2017/02/16	Thu	10:02 AM	2.02	62	L
2017/02/16	Thu	04:01 PM	6.48	198	H
2017/02/16	Thu	09:47 PM	2.29	70	L
2017/02/17	Fri	04:20 AM	7.89	240	H
2017/02/17	Fri	11:00 AM	2.05	62	L
2017/02/17	Fri	05:05 PM	5.90	180	H
2017/02/17	Fri	10:29 PM	2.97	91	L
2017/02/18	Sat	05:05 AM	7.71	235	H
2017/02/18	Sat	12:06 PM	1.99	61	L
2017/02/18	Sat	06:26 PM	5.56	169	H
2017/02/18	Sat	11:21 PM	3.53	108	L
2017/02/19	Sun	05:57 AM	7.59	231	H
2017/02/19	Sun	01:15 PM	1.78	54	L
2017/02/19	Sun	07:55 PM	5.56	169	H
2017/02/20	Mon	12:28 AM	3.90	119	L
2017/02/20	Mon	06:55 AM	7.59	231	H
2017/02/20	Mon	02:18 PM	1.42	43	L
2017/02/20	Mon	09:08 PM	5.82	177	H
2017/02/21	Tue	01:41 AM	4.00	122	L
2017/02/21	Tue	07:54 AM	7.73	236	H
2017/02/21	Tue	03:10 PM	0.99	30	L
2017/02/21	Tue	10:00 PM	6.19	189	H
2017/02/22	Wed	02:45 AM	3.87	118	L
2017/02/22	Wed	08:48 AM	8.00	244	H
2017/02/22	Wed	03:55 PM	0.54	16	L
2017/02/22	Wed	10:39 PM	6.58	201	H
2017/02/23	Thu	03:37 AM	3.56	109	L
2017/02/23	Thu	09:36 AM	8.32	254	H
2017/02/23	Thu	04:34 PM	0.12	4	L
2017/02/23	Thu	11:13 PM	6.98	213	H
2017/02/24	Fri	04:22 AM	3.16	96	L
2017/02/24	Fri	10:21 AM	8.63	263	H
2017/02/24	Fri	05:10 PM	-0.21	-6	L
2017/02/24	Fri	11:44 PM	7.38	225	H
2017/02/25	Sat	05:04 AM	2.70	82	L
2017/02/25	Sat	11:04 AM	8.87	270	H
2017/02/25	Sat	05:45 PM	-0.41	-12	L
2017/02/26	Sun	12:16 AM	7.77	237	H
2017/02/26	Sun	05:46 AM	2.23	68	L
2017/02/26	Sun	11:46 AM	8.97	273	H
2017/02/26	Sun	06:20 PM	-0.43	-13	L
2017/02/27	Mon	12:47 AM	8.14	248	H
2017/02/27	Mon	06:28 AM	1.77	54	L
2017/02/27	Mon	12:30 PM	8.90	271	H
2017/02/27	Mon	06:55 PM	-0.26	-8	L
2017/02/28	Tue	01:21 AM	8.46	258	H
2017/02/28	Tue	07:12 AM	1.36	41	L
2017/02/28	Tue	01:16 PM	8.63	263	H
2017/02/28	Tue	07:31 PM	0.12	4	L
2017/03/01	Wed	01:56 AM	8.70	265	H
2017/03/01	Wed	07:59 AM	1.03	31	L
2017/03/01	Wed	02:05 PM	8.17	249	H
2017/03/01	Wed	08:10 PM	0.68	21	L
2017/03/02	Thu	02:34 AM	8.85	270	H
2017/03/02	Thu	08:51 AM	0.82	25	L
2017/03/02	Thu	02:59 PM	7.57	231	H
2017/03/02	Thu	08:51 PM	1.35	41	L
2017/03/03	Fri	03:16 AM	8.87	270	H
2017/03/03	Fri	09:48 AM	0.70	21	L
2017/03/03	Fri	04:02 PM	6.93	211	H
2017/03/03	Fri	09:38 PM	2.08	63	L
2017/03/04	Sat	04:03 AM	8.78	268	H
2017/03/04	Sat	10:53 AM	0.64	20	L
2017/03/04	Sat	05:17 PM	6.41	195	H
2017/03/04	Sat	10:34 PM	2.76	84	L
2017/03/05	Sun	05:00 AM	8.61	262	H
2017/03/05	Sun	12:05 PM	0.53	16	L
2017/03/05	Sun	06:42 PM	6.19	189	H
2017/03/05	Sun	11:44 PM	3.26	99	L
2017/03/06	Mon	06:06 AM	8.46	258	H
2017/03/06	Mon	01:19 PM	0.32	10	L
2017/03/06	Mon	08:06 PM	6.34	193	H
2017/03/07	Tue	01:05 AM	3.44	105	L
2017/03/07	Tue	07:17 AM	8.41	256	H
2017/03/07	Tue	02:27 PM	0.03	1	L
2017/03/07	Tue	09:14 PM	6.72	205	H
2017/03/08	Wed	02:22 AM	3.25	99	L
2017/03/08	Wed	08:26 AM	8.50	259	H
2017/03/08	Wed	03:25 PM	-0.26	-8	L
2017/03/08	Wed	10:08 PM	7.17	219	H
2017/03/09	Thu	03:27 AM	2.83	86	L
2017/03/09	Thu	09:28 AM	8.64	263	H
2017/03/09	Thu	04:16 PM	-0.44	-13	L
2017/03/09	Thu	10:52 PM	7.58	231	H
2017/03/10	Fri	04:22 AM	2.32	71	L
2017/03/10	Fri	10:23 AM	8.74	266	H
2017/03/10	Fri	05:00 PM	-0.47	-14	L
2017/03/10	Fri	11:30 PM	7.92	241	H
2017/03/11	Sat	05:10 AM	1.83	56	L
2017/03/11	Sat	11:12 AM	8.72	266	H
2017/03/11	Sat	05:40 PM	-0.34	-10	L
2017/03/12	Sun	12:06 AM	8.16	249	H
2017/03/12	Sun	06:53 AM	1.42	43	L
2017/03/12	Sun	12:57 PM	8.57	261	H
2017/03/12	Sun	07:16 PM	-0.06	-2	L
2017/03/13	Mon	01:39 AM	8.29	253	H
2017/03/13	Mon	07:35 AM	1.12	34	L
2017/03/13	Mon	01:40 PM	8.28	252	H
2017/03/13	Mon	07:51 PM	0.36	11	L
2017/03/14	Tue	02:11 AM	8.32	254	H
2017/03/14	Tue	08:15 AM	0.95	29	L
2017/03/14	Tue	02:22 PM	7.89	240	H
2017/03/14	Tue	08:24 PM	0.89	27	L
2017/03/15	Wed	02:42 AM	8.26	252	H
2017/03/15	Wed	08:54 AM	0.90	27	L
2017/03/15	Wed	03:05 PM	7.41	226	H
2017/03/15	Wed	08:57 PM	1.48	45	L
2017/03/16	Thu	03:13 AM	8.10	247	H
2017/03/16	Thu	09:35 AM	0.95	29	L
2017/03/16	Thu	03:49 PM	6.89	210	H
2017/03/16	Thu	09:30 PM	2.09	64	L
2017/03/17	Fri	03:45 AM	7.87	240	H
2017/03/17	Fri	10:20 AM	1.08	33	L
2017/03/17	Fri	04:39 PM	6.37	194	H
2017/03/17	Fri	10:06 PM	2.68	82	L
2017/03/18	Sat	04:21 AM	7.59	231	H
2017/03/18	Sat	11:09 AM	1.24	38	L
2017/03/18	Sat	05:37 PM	5.91	180	H
2017/03/18	Sat	10:47 PM	3.21	98	L
2017/03/19	Sun	05:02 AM	7.30	223	H
2017/03/19	Sun	12:07 PM	1.37	42	L
2017/03/19	Sun	06:50 PM	5.60	171	H
2017/03/19	Sun	11:40 PM	3.63	111	L
2017/03/20	Mon	05:54 AM	7.04	215	H
2017/03/20	Mon	01:13 PM	1.39	42	L
2017/03/20	Mon	08:11 PM	5.56	169	H
2017/03/21	Tue	12:51 AM	3.87	118	L
2017/03/21	Tue	06:58 AM	6.90	210	H
2017/03/21	Tue	02:20 PM	1.24	38	L
2017/03/21	Tue	09:22 PM	5.78	176	H
2017/03/22	Wed	02:12 AM	3.83	117	L
2017/03/22	Wed	08:08 AM	6.94	212	H
2017/03/22	Wed	03:19 PM	0.94	29	L
2017/03/22	Wed	10:13 PM	6.13	187	H
2017/03/23	Thu	03:20 AM	3.50	107	L
2017/03/23	Thu	09:13 AM	7.18	219	H
2017/03/23	Thu	04:09 PM	0.59	18	L
2017/03/23	Thu	10:53 PM	6.56	200	H
2017/03/24	Fri	04:14 AM	2.98	91	L
2017/03/24	Fri	10:09 AM	7.53	230	H
2017/03/24	Fri	04:52 PM	0.27	8	L
