Date,Day	Time	Pred(Ft)	Pred(cm)	High/Low
2017/05/17	Wed	07:51 PM	5.57	170	H
2017/05/18	Thu	01:16 AM	2.97	91	L
2017/05/18	Thu	06:48 AM	5.63	172	H
2017/05/18	Thu	01:43 PM	0.50	15	L
2017/05/18	Thu	08:44 PM	5.72	174	H
2017/05/19	Fri	02:29 AM	2.72	83	L
2017/05/19	Fri	08:00 AM	5.39	164	H
2017/05/19	Fri	02:40 PM	0.68	21	L
2017/05/19	Fri	09:35 PM	6.02	183	H
2017/05/20	Sat	03:38 AM	2.21	67	L
2017/05/20	Sat	09:18 AM	5.33	162	H
2017/05/20	Sat	03:38 PM	0.82	25	L
2017/05/20	Sat	10:22 PM	6.45	197	H
2017/05/21	Sun	04:40 AM	1.49	45	L
2017/05/21	Sun	10:31 AM	5.47	167	H
2017/05/21	Sun	04:33 PM	0.93	28	L
2017/05/21	Sun	11:05 PM	6.96	212	H
2017/05/22	Mon	05:34 AM	0.65	20	L
2017/05/22	Mon	11:37 AM	5.75	175	H
2017/05/22	Mon	05:26 PM	1.03	31	L
2017/05/22	Mon	11:48 PM	7.49	228	H
2017/05/23	Tue	06:24 AM	-0.21	-6	L
2017/05/23	Tue	12:38 PM	6.09	186	H
2017/05/23	Tue	06:16 PM	1.15	35	L
2017/05/24	Wed	12:30 AM	7.98	243	H
2017/05/24	Wed	07:12 AM	-0.99	-30	L
2017/05/24	Wed	01:34 PM	6.41	195	H
2017/05/24	Wed	07:04 PM	1.29	39	L
2017/05/25	Thu	01:13 AM	8.37	255	H
2017/05/25	Thu	07:59 AM	-1.60	-49	L
2017/05/25	Thu	02:28 PM	6.64	202	H
2017/05/25	Thu	07:53 PM	1.45	44	L
2017/05/26	Fri	01:58 AM	8.58	262	H
2017/05/26	Fri	08:47 AM	-1.98	-60	L
2017/05/26	Fri	03:21 PM	6.76	206	H
2017/05/26	Fri	08:42 PM	1.63	50	L
2017/05/27	Sat	02:44 AM	8.58	262	H
2017/05/27	Sat	09:35 AM	-2.09	-64	L
2017/05/27	Sat	04:13 PM	6.76	206	H
2017/05/27	Sat	09:33 PM	1.82	55	L
2017/05/28	Sun	03:32 AM	8.34	254	H
2017/05/28	Sun	10:24 AM	-1.94	-59	L
2017/05/28	Sun	05:07 PM	6.69	204	H
2017/05/28	Sun	10:28 PM	2.01	61	L
2017/05/29	Mon	04:23 AM	7.88	240	H
2017/05/29	Mon	11:15 AM	-1.58	-48	L
2017/05/29	Mon	06:02 PM	6.58	201	H
2017/05/29	Mon	11:27 PM	2.17	66	L
2017/05/30	Tue	05:18 AM	7.25	221	H
2017/05/30	Tue	12:08 PM	-1.07	-33	L
2017/05/30	Tue	06:59 PM	6.49	198	H
2017/05/31	Wed	12:33 AM	2.25	69	L
2017/05/31	Wed	06:19 AM	6.55	200	H
2017/05/31	Wed	01:04 PM	-0.48	-15	L
2017/05/31	Wed	07:57 PM	6.46	197	H
2017/06/01	Thu	01:47 AM	2.16	66	L
2017/06/01	Thu	07:28 AM	5.89	180	H
2017/06/01	Thu	02:02 PM	0.10	3	L
2017/06/01	Thu	08:54 PM	6.52	199	H
2017/06/02	Fri	03:02 AM	1.88	57	L
2017/06/02	Fri	08:43 AM	5.39	164	H
2017/06/02	Fri	03:01 PM	0.63	19	L
2017/06/02	Fri	09:47 PM	6.64	202	H
2017/06/03	Sat	04:11 AM	1.44	44	L
2017/06/03	Sat	09:59 AM	5.14	157	H
2017/06/03	Sat	03:58 PM	1.08	33	L
2017/06/03	Sat	10:35 PM	6.79	207	H
2017/06/04	Sun	05:11 AM	0.93	28	L
2017/06/04	Sun	11:10 AM	5.11	156	H
2017/06/04	Sun	04:51 PM	1.44	44	L
2017/06/04	Sun	11:18 PM	6.95	212	H
2017/06/05	Mon	06:00 AM	0.44	13	L
2017/06/05	Mon	12:11 PM	5.22	159	H
2017/06/05	Mon	05:39 PM	1.73	53	L
2017/06/05	Mon	11:57 PM	7.08	216	H
2017/06/06	Tue	06:43 AM	0.01	0	L
2017/06/06	Tue	01:04 PM	5.39	164	H
2017/06/06	Tue	06:23 PM	1.96	60	L
2017/06/07	Wed	12:32 AM	7.18	219	H
2017/06/07	Wed	07:21 AM	-0.33	-10	L
2017/06/07	Wed	01:49 PM	5.57	170	H
2017/06/07	Wed	07:04 PM	2.13	65	L
2017/06/08	Thu	01:07 AM	7.24	221	H
2017/06/08	Thu	07:57 AM	-0.57	-17	L
2017/06/08	Thu	02:30 PM	5.71	174	H
2017/06/08	Thu	07:43 PM	2.27	69	L
2017/06/09	Fri	01:40 AM	7.25	221	H
2017/06/09	Fri	08:32 AM	-0.73	-22	L
2017/06/09	Fri	03:08 PM	5.81	177	H
2017/06/09	Fri	08:20 PM	2.38	73	L
2017/06/10	Sat	02:13 AM	7.21	220	H
2017/06/10	Sat	09:07 AM	-0.81	-25	L
2017/06/10	Sat	03:46 PM	5.85	178	H
2017/06/10	Sat	08:57 PM	2.48	76	L
2017/06/11	Sun	02:47 AM	7.10	216	H
2017/06/11	Sun	09:41 AM	-0.80	-24	L
2017/06/11	Sun	04:24 PM	5.86	179	H
2017/06/11	Sun	09:35 PM	2.57	78	L
2017/06/12	Mon	03:21 AM	6.92	211	H
2017/06/12	Mon	10:17 AM	-0.73	-22	L
2017/06/12	Mon	05:04 PM	5.83	178	H
2017/06/12	Mon	10:15 PM	2.64	80	L
2017/06/13	Tue	03:58 AM	6.68	204	H
2017/06/13	Tue	10:54 AM	-0.58	-18	L
2017/06/13	Tue	05:44 PM	5.81	177	H
2017/06/13	Tue	10:59 PM	2.68	82	L
2017/06/14	Wed	04:38 AM	6.37	194	H
2017/06/14	Wed	11:33 AM	-0.36	-11	L
2017/06/14	Wed	06:27 PM	5.83	178	H
2017/06/14	Wed	11:49 PM	2.65	81	L
2017/06/15	Thu	05:24 AM	6.00	183	H
2017/06/15	Thu	12:15 PM	-0.08	-2	L
2017/06/15	Thu	07:11 PM	5.92	180	H
2017/06/16	Fri	12:49 AM	2.52	77	L
2017/06/16	Fri	06:21 AM	5.59	170	H
2017/06/16	Fri	01:01 PM	0.25	8	L
2017/06/16	Fri	07:58 PM	6.11	186	H
2017/06/17	Sat	01:56 AM	2.20	67	L
2017/06/17	Sat	07:29 AM	5.23	159	H
2017/06/17	Sat	01:52 PM	0.62	19	L
2017/06/17	Sat	08:45 PM	6.41	195	H
2017/06/18	Sun	03:05 AM	1.68	51	L
2017/06/18	Sun	08:47 AM	5.01	153	H
2017/06/18	Sun	02:48 PM	0.98	30	L
2017/06/18	Sun	09:33 PM	6.80	207	H
2017/06/19	Mon	04:10 AM	0.97	30	L
2017/06/19	Mon	10:06 AM	5.03	153	H
2017/06/19	Mon	03:47 PM	1.29	39	L
2017/06/19	Mon	10:22 PM	7.26	221	H
2017/06/20	Tue	05:09 AM	0.16	5	L
2017/06/20	Tue	11:20 AM	5.26	160	H
2017/06/20	Tue	04:47 PM	1.53	47	L
2017/06/20	Tue	11:10 PM	7.73	236	H
2017/06/21	Wed	06:03 AM	-0.66	-20	L
2017/06/21	Wed	12:26 PM	5.62	171	H
2017/06/21	Wed	05:44 PM	1.68	51	L
2017/06/21	Wed	11:59 PM	8.15	248	H
2017/06/22	Thu	06:54 AM	-1.36	-41	L
2017/06/22	Thu	01:25 PM	6.00	183	H
2017/06/22	Thu	06:40 PM	1.75	53	L
2017/06/23	Fri	12:48 AM	8.45	258	H
2017/06/23	Fri	07:44 AM	-1.89	-58	L
2017/06/23	Fri	02:19 PM	6.33	193	H
2017/06/23	Fri	07:34 PM	1.77	54	L
2017/06/24	Sat	01:37 AM	8.59	262	H
2017/06/24	Sat	08:32 AM	-2.18	-66	L
2017/06/24	Sat	03:10 PM	6.57	200	H
2017/06/24	Sat	08:27 PM	1.77	54	L
2017/06/25	Sun	02:27 AM	8.52	260	H
2017/06/25	Sun	09:20 AM	-2.21	-67	L
2017/06/25	Sun	04:00 PM	6.71	205	H
2017/06/25	Sun	09:20 PM	1.76	54	L
2017/06/26	Mon	03:17 AM	8.23	251	H
2017/06/26	Mon	10:07 AM	-2.00	-61	L
2017/06/26	Mon	04:49 PM	6.75	206	H
2017/06/26	Mon	10:15 PM	1.78	54	L
2017/06/27	Tue	04:08 AM	7.73	236	H
2017/06/27	Tue	10:55 AM	-1.58	-48	L
2017/06/27	Tue	05:39 PM	6.74	205	H
2017/06/27	Tue	11:12 PM	1.79	55	L
2017/06/28	Wed	05:02 AM	7.07	215	H
2017/06/28	Wed	11:43 AM	-1.01	-31	L
2017/06/28	Wed	06:28 PM	6.70	204	H
2017/06/29	Thu	12:13 AM	1.79	55	L
2017/06/29	Thu	05:59 AM	6.33	193	H
2017/06/29	Thu	12:32 PM	-0.35	-11	L
2017/06/29	Thu	07:19 PM	6.65	203	H
2017/06/30	Fri	01:19 AM	1.72	52	L
2017/06/30	Fri	07:02 AM	5.62	171	H
2017/06/30	Fri	01:22 PM	0.34	10	L
2017/06/30	Fri	08:09 PM	6.63	202	H
2017/07/01	Sat	02:29 AM	1.54	47	L
2017/07/01	Sat	08:12 AM	5.05	154	H
2017/07/01	Sat	02:15 PM	0.99	30	L
2017/07/01	Sat	08:59 PM	6.64	202	H
2017/07/02	Sun	03:37 AM	1.23	37	L
2017/07/02	Sun	09:28 AM	4.72	144	H
2017/07/02	Sun	03:10 PM	1.54	47	L
2017/07/02	Sun	09:47 PM	6.69	204	H
2017/07/03	Mon	04:38 AM	0.84	26	L
2017/07/03	Mon	10:44 AM	4.66	142	H
2017/07/03	Mon	04:06 PM	1.97	60	L
2017/07/03	Mon	10:33 PM	6.78	207	H
2017/07/04	Tue	05:31 AM	0.43	13	L
2017/07/04	Tue	11:51 AM	4.81	147	H
2017/07/04	Tue	05:00 PM	2.24	68	L
2017/07/04	Tue	11:17 PM	6.88	210	H
2017/07/05	Wed	06:17 AM	0.06	2	L
2017/07/05	Wed	12:46 PM	5.04	154	H
2017/07/05	Wed	05:50 PM	2.40	73	L
2017/07/05	Wed	11:58 PM	7.00	213	H
2017/07/06	Thu	06:57 AM	-0.28	-9	L
2017/07/06	Thu	01:32 PM	5.29	161	H
2017/07/06	Thu	06:36 PM	2.45	75	L
2017/07/07	Fri	12:37 AM	7.10	216	H
2017/07/07	Fri	07:35 AM	-0.54	-16	L
2017/07/07	Fri	02:12 PM	5.51	168	H
2017/07/07	Fri	07:18 PM	2.45	75	L
2017/07/08	Sat	01:14 AM	7.17	219	H
2017/07/08	Sat	08:11 AM	-0.74	-23	L
2017/07/08	Sat	02:49 PM	5.70	174	H
2017/07/08	Sat	07:58 PM	2.41	73	L
2017/07/09	Sun	01:51 AM	7.20	219	H
2017/07/09	Sun	08:45 AM	-0.87	-27	L
2017/07/09	Sun	03:25 PM	5.84	178	H
2017/07/09	Sun	08:36 PM	2.36	72	L
2017/07/10	Mon	02:28 AM	7.16	218	H
2017/07/10	Mon	09:20 AM	-0.92	-28	L
2017/07/10	Mon	04:00 PM	5.94	181	H
2017/07/10	Mon	09:15 PM	2.30	70	L
2017/07/11	Tue	03:04 AM	7.03	214	H
2017/07/11	Tue	09:54 AM	-0.87	-27	L
2017/07/11	Tue	04:36 PM	6.02	183	H
2017/07/11	Tue	09:55 PM	2.24	68	L
2017/07/12	Wed	03:42 AM	6.82	208	H
2017/07/12	Wed	10:29 AM	-0.72	-22	L
2017/07/12	Wed	05:12 PM	6.10	186	H
2017/07/12	Wed	10:39 PM	2.16	66	L
2017/07/13	Thu	04:23 AM	6.51	198	H
2017/07/13	Thu	11:05 AM	-0.47	-14	L
2017/07/13	Thu	05:49 PM	6.20	189	H
2017/07/13	Thu	11:27 PM	2.04	62	L
2017/07/14	Fri	05:09 AM	6.11	186	H
2017/07/14	Fri	11:43 AM	-0.10	-3	L
2017/07/14	Fri	06:29 PM	6.34	193	H
2017/07/15	Sat	12:22 AM	1.85	56	L
2017/07/15	Sat	06:04 AM	5.65	172	H
2017/07/15	Sat	12:25 PM	0.35	11	L
2017/07/15	Sat	07:12 PM	6.53	199	H
2017/07/16	Sun	01:25 AM	1.56	48	L
2017/07/16	Sun	07:10 AM	5.20	158	H
2017/07/16	Sun	01:13 PM	0.86	26	L
2017/07/16	Sun	07:59 PM	6.76	206	H
2017/07/17	Mon	02:33 AM	1.13	34	L
2017/07/17	Mon	08:28 AM	4.89	149	H
2017/07/17	Mon	02:09 PM	1.36	41	L
2017/07/17	Mon	08:51 PM	7.05	215	H
2017/07/18	Tue	03:42 AM	0.56	17	L
2017/07/18	Tue	09:51 AM	4.84	148	H
2017/07/18	Tue	03:13 PM	1.77	54	L
2017/07/18	Tue	09:46 PM	7.37	225	H
2017/07/19	Wed	04:46 AM	-0.10	-3	L
2017/07/19	Wed	11:09 AM	5.06	154	H
2017/07/19	Wed	04:20 PM	2.01	61	L
2017/07/19	Wed	10:42 PM	7.72	235	H
2017/07/20	Thu	05:45 AM	-0.77	-23	L
2017/07/20	Thu	12:17 PM	5.45	166	H
2017/07/20	Thu	05:25 PM	2.07	63	L
2017/07/20	Thu	11:38 PM	8.04	245	H
2017/07/21	Fri	06:39 AM	-1.34	-41	L
2017/07/21	Fri	01:15 PM	5.89	180	H
2017/07/21	Fri	06:25 PM	1.97	60	L
2017/07/22	Sat	12:32 AM	8.28	252	H
2017/07/22	Sat	07:29 AM	-1.74	-53	L
2017/07/22	Sat	02:06 PM	6.28	191	H
2017/07/22	Sat	07:22 PM	1.79	55	L
2017/07/23	Sun	01:25 AM	8.38	255	H
2017/07/23	Sun	08:17 AM	-1.93	-59	L
2017/07/23	Sun	02:54 PM	6.59	201	H
2017/07/23	Sun	08:15 PM	1.58	48	L
2017/07/24	Mon	02:16 AM	8.30	253	H
2017/07/24	Mon	09:03 AM	-1.89	-58	L
2017/07/24	Mon	03:39 PM	6.79	207	H
2017/07/24	Mon	09:07 PM	1.41	43	L
2017/07/25	Tue	03:05 AM	8.01	244	H
2017/07/25	Tue	09:47 AM	-1.62	-49	L
2017/07/25	Tue	04:22 PM	6.89	210	H
2017/07/25	Tue	09:58 PM	1.30	40	L
2017/07/26	Wed	03:55 AM	7.53	230	H
2017/07/26	Wed	10:30 AM	-1.16	-35	L
2017/07/26	Wed	05:05 PM	6.91	211	H
2017/07/26	Wed	10:51 PM	1.27	39	L
2017/07/27	Thu	04:45 AM	6.91	211	H
2017/07/27	Thu	11:13 AM	-0.56	-17	L
2017/07/27	Thu	05:48 PM	6.85	209	H
2017/07/27	Thu	11:45 PM	1.27	39	L
2017/07/28	Fri	05:38 AM	6.22	190	H
2017/07/28	Fri	11:56 AM	0.12	4	L
2017/07/28	Fri	06:32 PM	6.74	205	H
2017/07/29	Sat	12:43 AM	1.29	39	L
2017/07/29	Sat	06:35 AM	5.54	169	H
2017/07/29	Sat	12:40 PM	0.83	25	L
2017/07/29	Sat	07:17 PM	6.62	202	H
2017/07/30	Sun	01:45 AM	1.27	39	L
2017/07/30	Sun	07:39 AM	4.97	151	H
2017/07/30	Sun	01:28 PM	1.50	46	L
2017/07/30	Sun	08:05 PM	6.51	198	H
2017/07/31	Mon	02:50 AM	1.16	35	L
2017/07/31	Mon	08:53 AM	4.62	141	H
2017/07/31	Mon	02:23 PM	2.06	63	L
2017/07/31	Mon	08:55 PM	6.45	197	H
2017/08/01	Tue	03:55 AM	0.95	29	L
2017/08/01	Tue	10:12 AM	4.55	139	H
2017/08/01	Tue	03:24 PM	2.45	75	L
2017/08/01	Tue	09:47 PM	6.47	197	H
2017/08/02	Wed	04:54 AM	0.66	20	L
2017/08/02	Wed	11:24 AM	4.71	144	H
2017/08/02	Wed	04:26 PM	2.64	80	L
2017/08/02	Wed	10:38 PM	6.57	200	H
2017/08/03	Thu	05:45 AM	0.32	10	L
2017/08/03	Thu	12:21 PM	4.98	152	H
2017/08/03	Thu	05:23 PM	2.66	81	L
2017/08/03	Thu	11:27 PM	6.72	205	H
2017/08/04	Fri	06:29 AM	-0.01	-0	L
2017/08/04	Fri	01:06 PM	5.28	161	H
2017/08/04	Fri	06:13 PM	2.55	78	L
2017/08/05	Sat	12:11 AM	6.91	211	H
2017/08/05	Sat	07:09 AM	-0.30	-9	L
2017/08/05	Sat	01:45 PM	5.57	170	H
2017/08/05	Sat	06:57 PM	2.38	73	L
2017/08/06	Sun	12:53 AM	7.08	216	H
2017/08/06	Sun	07:45 AM	-0.55	-17	L
2017/08/06	Sun	02:20 PM	5.82	177	H
2017/08/06	Sun	07:37 PM	2.17	66	L
2017/08/07	Mon	01:33 AM	7.20	219	H
2017/08/07	Mon	08:20 AM	-0.71	-22	L
2017/08/07	Mon	02:53 PM	6.05	184	H
2017/08/07	Mon	08:16 PM	1.96	60	L
2017/08/08	Tue	02:11 AM	7.24	221	H
2017/08/08	Tue	08:54 AM	-0.76	-23	L
2017/08/08	Tue	03:26 PM	6.25	190	H
2017/08/08	Tue	08:55 PM	1.75	53	L
2017/08/09	Wed	02:50 AM	7.17	219	H
2017/08/09	Wed	09:27 AM	-0.70	-21	L
2017/08/09	Wed	03:59 PM	6.42	196	H
2017/08/09	Wed	09:35 PM	1.55	47	L
2017/08/10	Thu	03:30 AM	6.99	213	H
2017/08/10	Thu	10:01 AM	-0.50	-15	L
2017/08/10	Thu	04:32 PM	6.58	201	H
2017/08/10	Thu	10:18 PM	1.36	41	L
2017/08/11	Fri	04:13 AM	6.69	204	H
2017/08/11	Fri	10:36 AM	-0.17	-5	L
2017/08/11	Fri	05:07 PM	6.72	205	H
2017/08/11	Fri	11:05 PM	1.19	36	L
2017/08/12	Sat	05:00 AM	6.27	191	H
2017/08/12	Sat	11:13 AM	0.29	9	L
2017/08/12	Sat	05:46 PM	6.84	208	H
2017/08/12	Sat	11:57 PM	1.03	31	L
2017/08/13	Sun	05:55 AM	5.79	176	H
2017/08/13	Sun	11:55 AM	0.83	25	L
2017/08/13	Sun	06:28 PM	6.94	212	H
2017/08/14	Mon	12:58 AM	0.86	26	L
2017/08/14	Mon	07:01 AM	5.32	162	H
2017/08/14	Mon	12:43 PM	1.40	43	L
2017/08/14	Mon	07:18 PM	7.02	214	H
2017/08/15	Tue	02:05 AM	0.63	19	L
2017/08/15	Tue	08:19 AM	5.00	152	H
2017/08/15	Tue	01:43 PM	1.93	59	L
2017/08/15	Tue	08:16 PM	7.12	217	H
2017/08/16	Wed	03:17 AM	0.30	9	L
2017/08/16	Wed	09:43 AM	4.97	151	H
2017/08/16	Wed	02:54 PM	2.29	70	L
2017/08/16	Wed	09:19 PM	7.25	221	H
2017/08/17	Thu	04:26 AM	-0.13	-4	L
2017/08/17	Thu	11:01 AM	5.23	159	H
2017/08/17	Thu	04:09 PM	2.39	73	L
2017/08/17	Thu	10:24 PM	7.46	227	H
2017/08/18	Fri	05:28 AM	-0.59	-18	L
2017/08/18	Fri	12:06 PM	5.65	172	H
2017/08/18	Fri	05:19 PM	2.23	68	L
2017/08/18	Fri	11:26 PM	7.71	235	H
2017/08/19	Sat	06:23 AM	-0.98	-30	L
2017/08/19	Sat	01:00 PM	6.11	186	H
2017/08/19	Sat	06:20 PM	1.91	58	L
2017/08/20	Sun	12:24 AM	7.91	241	H
2017/08/20	Sun	07:13 AM	-1.23	-37	L
2017/08/20	Sun	01:46 PM	6.51	198	H
2017/08/20	Sun	07:15 PM	1.52	46	L
2017/08/21	Mon	01:17 AM	8.01	244	H
2017/08/21	Mon	07:58 AM	-1.29	-39	L
2017/08/21	Mon	02:29 PM	6.83	208	H
2017/08/21	Mon	08:05 PM	1.17	36	L
2017/08/22	Tue	02:07 AM	7.94	242	H
2017/08/22	Tue	08:41 AM	-1.16	-35	L
2017/08/22	Tue	03:09 PM	7.04	215	H
2017/08/22	Tue	08:53 PM	0.89	27	L
2017/08/23	Wed	02:55 AM	7.69	234	H
2017/08/23	Wed	09:21 AM	-0.84	-26	L
2017/08/23	Wed	03:47 PM	7.13	217	H
2017/08/23	Wed	09:39 PM	0.74	23	L
2017/08/24	Thu	03:42 AM	7.29	222	H
2017/08/24	Thu	10:01 AM	-0.36	-11	L
2017/08/24	Thu	04:25 PM	7.11	217	H
2017/08/24	Thu	10:25 PM	0.69	21	L
2017/08/25	Fri	04:28 AM	6.77	206	H
2017/08/25	Fri	10:39 AM	0.22	7	L
2017/08/25	Fri	05:02 PM	7.00	213	H
2017/08/25	Fri	11:12 PM	0.75	23	L
2017/08/26	Sat	05:16 AM	6.19	189	H
2017/08/26	Sat	11:18 AM	0.87	27	L
2017/08/26	Sat	05:41 PM	6.81	208	H
2017/08/27	Sun	12:02 AM	0.88	27	L
2017/08/27	Sun	06:08 AM	5.63	172	H
2017/08/27	Sun	11:58 AM	1.52	46	L
2017/08/27	Sun	06:21 PM	6.59	201	H
2017/08/28	Mon	12:56 AM	1.02	31	L
2017/08/28	Mon	07:08 AM	5.14	157	H
2017/08/28	Mon	12:43 PM	2.11	64	L
2017/08/28	Mon	07:07 PM	6.36	194	H
2017/08/29	Tue	01:57 AM	1.12	34	L
2017/08/29	Tue	08:18 AM	4.82	147	H
2017/08/29	Tue	01:38 PM	2.59	79	L
2017/08/29	Tue	07:59 PM	6.19	189	H
2017/08/30	Wed	03:03 AM	1.10	34	L
2017/08/30	Wed	09:36 AM	4.74	144	H
2017/08/30	Wed	02:46 PM	2.89	88	L
2017/08/30	Wed	08:59 PM	6.12	187	H
2017/08/31	Thu	04:08 AM	0.95	29	L
2017/08/31	Thu	10:49 AM	4.89	149	H
2017/08/31	Thu	03:57 PM	2.95	90	L
2017/08/31	Thu	09:59 PM	6.20	189	H
2017/09/01	Fri	05:05 AM	0.69	21	L
2017/09/01	Fri	11:46 AM	5.18	158	H
2017/09/01	Fri	05:00 PM	2.79	85	L
2017/09/01	Fri	10:56 PM	6.40	195	H
2017/09/02	Sat	05:53 AM	0.38	12	L
2017/09/02	Sat	12:30 PM	5.51	168	H
2017/09/02	Sat	05:51 PM	2.51	77	L
2017/09/02	Sat	11:46 PM	6.66	203	H
2017/09/03	Sun	06:35 AM	0.09	3	L
2017/09/03	Sun	01:07 PM	5.85	178	H
2017/09/03	Sun	06:36 PM	2.15	66	L
2017/09/04	Mon	12:32 AM	6.92	211	H
2017/09/04	Mon	07:12 AM	-0.15	-5	L
2017/09/04	Mon	01:41 PM	6.19	189	H
2017/09/04	Mon	07:16 PM	1.76	54	L
2017/09/05	Tue	01:14 AM	7.14	218	H
2017/09/05	Tue	07:48 AM	-0.29	-9	L
2017/09/05	Tue	02:13 PM	6.51	198	H
2017/09/05	Tue	07:55 PM	1.36	41	L
2017/09/06	Wed	01:55 AM	7.26	221	H
2017/09/06	Wed	08:22 AM	-0.31	-9	L
2017/09/06	Wed	02:45 PM	6.80	207	H
2017/09/06	Wed	08:35 PM	0.98	30	L
2017/09/07	Thu	02:37 AM	7.26	221	H
2017/09/07	Thu	08:56 AM	-0.19	-6	L
2017/09/07	Thu	03:17 PM	7.05	215	H
2017/09/07	Thu	09:15 PM	0.66	20	L
2017/09/08	Fri	03:20 AM	7.13	217	H
2017/09/08	Fri	09:31 AM	0.08	2	L
2017/09/08	Fri	03:50 PM	7.25	221	H
2017/09/08	Fri	09:58 PM	0.40	12	L
2017/09/09	Sat	04:05 AM	6.85	209	H
2017/09/09	Sat	10:07 AM	0.48	15	L
2017/09/09	Sat	04:26 PM	7.38	225	H
2017/09/09	Sat	10:44 PM	0.24	7	L
2017/09/10	Sun	04:55 AM	6.47	197	H
2017/09/10	Sun	10:47 AM	0.98	30	L
2017/09/10	Sun	05:05 PM	7.41	226	H
2017/09/10	Sun	11:36 PM	0.19	6	L
2017/09/11	Mon	05:52 AM	6.02	183	H
2017/09/11	Mon	11:31 AM	1.54	47	L
2017/09/11	Mon	05:51 PM	7.34	224	H
2017/09/12	Tue	12:34 AM	0.21	6	L
2017/09/12	Tue	06:59 AM	5.60	171	H
2017/09/12	Tue	12:24 PM	2.08	63	L
2017/09/12	Tue	06:44 PM	7.19	219	H
2017/09/13	Wed	01:41 AM	0.23	7	L
2017/09/13	Wed	08:16 AM	5.37	164	H
2017/09/13	Wed	01:31 PM	2.52	77	L
2017/09/13	Wed	07:49 PM	7.04	215	H
2017/09/14	Thu	02:54 AM	0.18	5	L
2017/09/14	Thu	09:37 AM	5.41	165	H
2017/09/14	Thu	02:51 PM	2.70	82	L
2017/09/14	Thu	09:01 PM	6.97	212	H
2017/09/15	Fri	04:05 AM	0.01	0	L
2017/09/15	Fri	10:50 AM	5.72	174	H
2017/09/15	Fri	04:11 PM	2.54	77	L
2017/09/15	Fri	10:14 PM	7.06	215	H
2017/09/16	Sat	05:09 AM	-0.21	-6	L
2017/09/16	Sat	11:49 AM	6.14	187	H
2017/09/16	Sat	05:20 PM	2.13	65	L
2017/09/16	Sat	11:20 PM	7.24	221	H
2017/09/17	Sun	06:04 AM	-0.39	-12	L
2017/09/17	Sun	12:38 PM	6.57	200	H
2017/09/17	Sun	06:18 PM	1.61	49	L
2017/09/18	Mon	12:19 AM	7.41	226	H
2017/09/18	Mon	06:52 AM	-0.45	-14	L
2017/09/18	Mon	01:20 PM	6.94	212	H
2017/09/18	Mon	07:08 PM	1.10	34	L
2017/09/19	Tue	01:11 AM	7.50	229	H
2017/09/19	Tue	07:35 AM	-0.38	-12	L
2017/09/19	Tue	01:58 PM	7.22	220	H
2017/09/19	Tue	07:54 PM	0.67	20	L
2017/09/20	Wed	01:59 AM	7.47	228	H
2017/09/20	Wed	08:15 AM	-0.15	-5	L
2017/09/20	Wed	02:34 PM	7.39	225	H
2017/09/20	Wed	08:37 PM	0.37	11	L
2017/09/21	Thu	02:45 AM	7.30	223	H
2017/09/21	Thu	08:52 AM	0.21	6	L
2017/09/21	Thu	03:08 PM	7.44	227	H
2017/09/21	Thu	09:18 PM	0.21	6	L
2017/09/22	Fri	03:29 AM	7.01	214	H
2017/09/22	Fri	09:29 AM	0.66	20	L
2017/09/22	Fri	03:41 PM	7.37	225	H
2017/09/22	Fri	09:59 PM	0.19	6	L
2017/09/23	Sat	04:12 AM	6.65	203	H
2017/09/23	Sat	10:04 AM	1.18	36	L
2017/09/23	Sat	04:15 PM	7.20	219	H
2017/09/23	Sat	10:40 PM	0.29	9	L
2017/09/24	Sun	04:57 AM	6.24	190	H
2017/09/24	Sun	10:41 AM	1.73	53	L
2017/09/24	Sun	04:49 PM	6.96	212	H
2017/09/24	Sun	11:23 PM	0.49	15	L
2017/09/25	Mon	05:46 AM	5.82	177	H
2017/09/25	Mon	11:19 AM	2.25	69	L
2017/09/25	Mon	05:26 PM	6.66	203	H
2017/09/26	Tue	12:10 AM	0.74	23	L
2017/09/26	Tue	06:41 AM	5.45	166	H
2017/09/26	Tue	12:03 PM	2.71	83	L
2017/09/26	Tue	06:08 PM	6.34	193	H
2017/09/27	Wed	01:04 AM	0.98	30	L
2017/09/27	Wed	07:45 AM	5.19	158	H
2017/09/27	Wed	12:59 PM	3.08	94	L
2017/09/27	Wed	07:01 PM	6.05	184	H
2017/09/28	Thu	02:07 AM	1.13	34	L
2017/09/28	Thu	08:57 AM	5.12	156	H
2017/09/28	Thu	02:12 PM	3.26	99	L
2017/09/28	Thu	08:06 PM	5.87	179	H
2017/09/29	Fri	03:13 AM	1.14	35	L
2017/09/29	Fri	10:06 AM	5.26	160	H
2017/09/29	Fri	03:29 PM	3.18	97	L
2017/09/29	Fri	09:16 PM	5.87	179	H
2017/09/30	Sat	04:15 AM	1.01	31	L
2017/09/30	Sat	11:02 AM	5.55	169	H
2017/09/30	Sat	04:35 PM	2.87	87	L
2017/09/30	Sat	10:21 PM	6.05	184	H
2017/10/01	Sun	05:07 AM	0.79	24	L
2017/10/01	Sun	11:45 AM	5.92	180	H
2017/10/01	Sun	05:28 PM	2.41	73	L
2017/10/01	Sun	11:18 PM	6.34	193	H
