Date,Day	Time	Pred(Ft)	Pred(cm)	High/Low
2017/02/01	Wed	04:32 AM	7.38	225	H
2017/02/01	Wed	10:29 AM	1.75	53	L
2017/02/01	Wed	04:22 PM	6.81	208	H
2017/02/01	Wed	10:37 PM	0.63	19	L
2017/02/02	Thu	05:14 AM	7.49	228	H
2017/02/02	Thu	11:27 AM	1.59	48	L
2017/02/02	Thu	05:21 PM	6.23	190	H
2017/02/02	Thu	11:22 PM	1.24	38	L
2017/02/03	Fri	06:00 AM	7.58	231	H
2017/02/03	Fri	12:32 PM	1.38	42	L
2017/02/03	Fri	06:33 PM	5.71	174	H
2017/02/04	Sat	12:14 AM	1.87	57	L
2017/02/04	Sat	06:53 AM	7.66	233	H
2017/02/04	Sat	01:44 PM	1.08	33	L
2017/02/04	Sat	07:57 PM	5.42	165	H
2017/02/05	Sun	01:18 AM	2.42	74	L
2017/02/05	Sun	07:53 AM	7.76	237	H
2017/02/05	Sun	02:57 PM	0.66	20	L
2017/02/05	Sun	09:24 PM	5.47	167	H
2017/02/06	Mon	02:32 AM	2.77	84	L
2017/02/06	Mon	08:57 AM	7.91	241	H
2017/02/06	Mon	04:04 PM	0.16	5	L
2017/02/06	Mon	10:40 PM	5.81	177	H
2017/02/07	Tue	03:46 AM	2.85	87	L
2017/02/07	Tue	09:59 AM	8.11	247	H
2017/02/07	Tue	05:03 PM	-0.32	-10	L
2017/02/07	Tue	11:42 PM	6.25	190	H
2017/02/08	Wed	04:52 AM	2.69	82	L
2017/02/08	Wed	10:58 AM	8.32	254	H
2017/02/08	Wed	05:55 PM	-0.69	-21	L
2017/02/09	Thu	12:32 AM	6.68	204	H
2017/02/09	Thu	05:50 AM	2.40	73	L
2017/02/09	Thu	11:52 AM	8.46	258	H
2017/02/09	Thu	06:42 PM	-0.89	-27	L
2017/02/10	Fri	01:17 AM	7.03	214	H
2017/02/10	Fri	06:42 AM	2.08	63	L
2017/02/10	Fri	12:42 PM	8.46	258	H
2017/02/10	Fri	07:25 PM	-0.92	-28	L
2017/02/11	Sat	01:57 AM	7.27	222	H
2017/02/11	Sat	07:30 AM	1.79	55	L
2017/02/11	Sat	01:29 PM	8.31	253	H
2017/02/11	Sat	08:05 PM	-0.75	-23	L
2017/02/12	Sun	02:35 AM	7.41	226	H
2017/02/12	Sun	08:16 AM	1.59	48	L
2017/02/12	Sun	02:14 PM	8.00	244	H
2017/02/12	Sun	08:43 PM	-0.41	-12	L
2017/02/13	Mon	03:12 AM	7.44	227	H
2017/02/13	Mon	09:00 AM	1.48	45	L
2017/02/13	Mon	02:58 PM	7.56	230	H
2017/02/13	Mon	09:20 PM	0.06	2	L
2017/02/14	Tue	03:48 AM	7.39	225	H
2017/02/14	Tue	09:44 AM	1.47	45	L
2017/02/14	Tue	03:41 PM	7.01	214	H
2017/02/14	Tue	09:56 PM	0.62	19	L
2017/02/15	Wed	04:23 AM	7.27	222	H
2017/02/15	Wed	10:30 AM	1.52	46	L
2017/02/15	Wed	04:27 PM	6.43	196	H
2017/02/15	Wed	10:32 PM	1.24	38	L
2017/02/16	Thu	05:00 AM	7.11	217	H
2017/02/16	Thu	11:19 AM	1.61	49	L
2017/02/16	Thu	05:18 PM	5.85	178	H
2017/02/16	Thu	11:10 PM	1.86	57	L
2017/02/17	Fri	05:39 AM	6.92	211	H
2017/02/17	Fri	12:14 PM	1.69	52	L
2017/02/17	Fri	06:17 PM	5.35	163	H
2017/02/17	Fri	11:53 PM	2.44	74	L
2017/02/18	Sat	06:24 AM	6.75	206	H
2017/02/18	Sat	01:16 PM	1.70	52	L
2017/02/18	Sat	07:29 PM	5.01	153	H
2017/02/19	Sun	12:46 AM	2.93	89	L
2017/02/19	Sun	07:16 AM	6.64	202	H
2017/02/19	Sun	02:23 PM	1.58	48	L
2017/02/19	Sun	08:50 PM	4.94	151	H
2017/02/20	Mon	01:53 AM	3.25	99	L
2017/02/20	Mon	08:14 AM	6.62	202	H
2017/02/20	Mon	03:28 PM	1.32	40	L
2017/02/20	Mon	10:07 PM	5.13	156	H
2017/02/21	Tue	03:06 AM	3.34	102	L
2017/02/21	Tue	09:14 AM	6.74	205	H
2017/02/21	Tue	04:24 PM	0.96	29	L
2017/02/21	Tue	11:05 PM	5.46	166	H
2017/02/22	Wed	04:09 AM	3.21	98	L
2017/02/22	Wed	10:09 AM	6.98	213	H
2017/02/22	Wed	05:11 PM	0.56	17	L
2017/02/22	Wed	11:49 PM	5.83	178	H
2017/02/23	Thu	05:02 AM	2.93	89	L
2017/02/23	Thu	10:59 AM	7.27	222	H
2017/02/23	Thu	05:52 PM	0.18	5	L
2017/02/24	Fri	12:26 AM	6.20	189	H
2017/02/24	Fri	05:48 AM	2.56	78	L
2017/02/24	Fri	11:45 AM	7.56	230	H
2017/02/24	Fri	06:30 PM	-0.13	-4	L
2017/02/25	Sat	01:01 AM	6.57	200	H
2017/02/25	Sat	06:30 AM	2.15	66	L
2017/02/25	Sat	12:28 PM	7.79	237	H
2017/02/25	Sat	07:06 PM	-0.33	-10	L
2017/02/26	Sun	01:34 AM	6.92	211	H
2017/02/26	Sun	07:11 AM	1.73	53	L
2017/02/26	Sun	01:11 PM	7.90	241	H
2017/02/26	Sun	07:42 PM	-0.38	-12	L
2017/02/27	Mon	02:07 AM	7.24	221	H
2017/02/27	Mon	07:53 AM	1.32	40	L
2017/02/27	Mon	01:54 PM	7.86	240	H
2017/02/27	Mon	08:17 PM	-0.25	-8	L
2017/02/28	Tue	02:41 AM	7.51	229	H
2017/02/28	Tue	08:36 AM	0.98	30	L
2017/02/28	Tue	02:39 PM	7.66	233	H
2017/02/28	Tue	08:54 PM	0.04	1	L
2017/03/01	Wed	03:16 AM	7.71	235	H
2017/03/01	Wed	09:21 AM	0.73	22	L
2017/03/01	Wed	03:26 PM	7.29	222	H
2017/03/01	Wed	09:32 PM	0.50	15	L
2017/03/02	Thu	03:54 AM	7.82	238	H
2017/03/02	Thu	10:11 AM	0.58	18	L
2017/03/02	Thu	04:19 PM	6.79	207	H
2017/03/02	Thu	10:13 PM	1.06	32	L
2017/03/03	Fri	04:36 AM	7.82	238	H
2017/03/03	Fri	11:06 AM	0.54	16	L
2017/03/03	Fri	05:19 PM	6.24	190	H
2017/03/03	Fri	11:00 PM	1.69	52	L
2017/03/04	Sat	05:24 AM	7.71	235	H
2017/03/04	Sat	12:09 PM	0.55	17	L
2017/03/04	Sat	06:30 PM	5.76	176	H
2017/03/04	Sat	11:56 PM	2.29	70	L
2017/03/05	Sun	06:21 AM	7.54	230	H
2017/03/05	Sun	01:19 PM	0.54	16	L
2017/03/05	Sun	07:52 PM	5.52	168	H
2017/03/06	Mon	01:06 AM	2.75	84	L
2017/03/06	Mon	07:27 AM	7.38	225	H
2017/03/06	Mon	02:34 PM	0.43	13	L
2017/03/06	Mon	09:16 PM	5.61	171	H
2017/03/07	Tue	02:27 AM	2.93	89	L
2017/03/07	Tue	08:39 AM	7.33	223	H
2017/03/07	Tue	03:44 PM	0.20	6	L
2017/03/07	Tue	10:28 PM	5.94	181	H
2017/03/08	Wed	03:45 AM	2.77	84	L
2017/03/08	Wed	09:49 AM	7.41	226	H
2017/03/08	Wed	04:44 PM	-0.05	-2	L
2017/03/08	Wed	11:24 PM	6.35	194	H
2017/03/09	Thu	04:51 AM	2.39	73	L
2017/03/09	Thu	10:51 AM	7.56	230	H
2017/03/09	Thu	05:36 PM	-0.23	-7	L
2017/03/10	Fri	12:10 AM	6.74	205	H
2017/03/10	Fri	05:46 AM	1.92	59	L
2017/03/10	Fri	11:46 AM	7.68	234	H
2017/03/10	Fri	06:21 PM	-0.30	-9	L
2017/03/11	Sat	12:50 AM	7.06	215	H
2017/03/11	Sat	06:34 AM	1.48	45	L
2017/03/11	Sat	12:35 PM	7.71	235	H
2017/03/11	Sat	07:02 PM	-0.23	-7	L
2017/03/12	Sun	01:26 AM	7.28	222	H
2017/03/12	Sun	08:17 AM	1.11	34	L
2017/03/12	Sun	02:20 PM	7.62	232	H
2017/03/12	Sun	08:39 PM	-0.02	-1	L
2017/03/13	Mon	03:00 AM	7.40	226	H
2017/03/13	Mon	08:58 AM	0.86	26	L
2017/03/13	Mon	03:03 PM	7.41	226	H
2017/03/13	Mon	09:14 PM	0.31	9	L
2017/03/14	Tue	03:32 AM	7.43	226	H
2017/03/14	Tue	09:37 AM	0.72	22	L
2017/03/14	Tue	03:44 PM	7.10	216	H
2017/03/14	Tue	09:48 PM	0.74	23	L
2017/03/15	Wed	04:04 AM	7.36	224	H
2017/03/15	Wed	10:16 AM	0.69	21	L
2017/03/15	Wed	04:25 PM	6.72	205	H
2017/03/15	Wed	10:21 PM	1.22	37	L
2017/03/16	Thu	04:35 AM	7.22	220	H
2017/03/16	Thu	10:56 AM	0.76	23	L
2017/03/16	Thu	05:07 PM	6.29	192	H
2017/03/16	Thu	10:55 PM	1.73	53	L
2017/03/17	Fri	05:08 AM	7.02	214	H
2017/03/17	Fri	11:38 AM	0.90	27	L
2017/03/17	Fri	05:54 PM	5.86	179	H
2017/03/17	Fri	11:31 PM	2.24	68	L
2017/03/18	Sat	05:43 AM	6.78	207	H
2017/03/18	Sat	12:25 PM	1.08	33	L
2017/03/18	Sat	06:47 PM	5.45	166	H
2017/03/19	Sun	12:11 AM	2.70	82	L
2017/03/19	Sun	06:25 AM	6.52	199	H
2017/03/19	Sun	01:20 PM	1.25	38	L
2017/03/19	Sun	07:52 PM	5.15	157	H
2017/03/20	Mon	01:03 AM	3.08	94	L
2017/03/20	Mon	07:16 AM	6.29	192	H
2017/03/20	Mon	02:24 PM	1.32	40	L
2017/03/20	Mon	09:07 PM	5.05	154	H
2017/03/21	Tue	02:13 AM	3.31	101	L
2017/03/21	Tue	08:19 AM	6.15	187	H
2017/03/21	Tue	03:31 PM	1.24	38	L
2017/03/21	Tue	10:21 PM	5.18	158	H
2017/03/22	Wed	03:33 AM	3.29	100	L
2017/03/22	Wed	09:29 AM	6.18	188	H
2017/03/22	Wed	04:34 PM	1.01	31	L
2017/03/22	Wed	11:19 PM	5.49	167	H
2017/03/23	Thu	04:42 AM	3.01	92	L
2017/03/23	Thu	10:34 AM	6.39	195	H
2017/03/23	Thu	05:27 PM	0.70	21	L
2017/03/24	Fri	12:04 AM	5.89	180	H
2017/03/24	Fri	05:37 AM	2.55	78	L
2017/03/24	Fri	11:31 AM	6.70	204	H
2017/03/24	Fri	06:12 PM	0.40	12	L
2017/03/25	Sat	12:43 AM	6.33	193	H
2017/03/25	Sat	06:25 AM	1.97	60	L
2017/03/25	Sat	12:23 PM	7.04	215	H
